pidp,sclfsato,age_dv,fimnnet_dv,nchild_dv,hiqual_dv,hhsize,ever_married,log_income,sex_female,occ_2.0,occ_3.0
1181676946,6.0,57.0,1184.0,0,2.0,3.0,0,7.077498053569231,1,False,True
1181731266,3.0,46.0,4294.669921875,2,1.0,5.0,0,8.365362799408851,0,False,False
1181731306,3.0,46.0,1283.0,2,1.0,5.0,0,7.157735484249907,1,False,True
1181738066,6.0,30.0,2450.580078125,0,1.0,1.0,1,7.804488025507831,1,False,False
1181846866,6.0,33.0,2483.330078125,1,3.0,3.0,0,7.817758315918214,0,False,False
1181846906,7.0,34.0,2103.5,1,1.0,3.0,0,7.651833188210626,1,False,False
1181860466,5.0,32.0,715.0,2,,4.0,0,6.573680166960646,1,False,True
1181860506,5.0,42.0,2035.0,2,5.0,4.0,0,7.618742377670413,0,False,True
1181887666,4.0,44.0,1840.0,0,2.0,2.0,0,7.518064181233078,1,True,False
1181887706,3.0,44.0,2410.669921875,0,1.0,2.0,0,7.788074700171961,0,False,False
1181908066,6.0,30.0,3466.669921875,0,1.0,2.0,0,8.15123815513396,1,False,False
1182003266,5.0,54.0,3791.669921875,0,3.0,2.0,0,8.240825514932236,0,False,False
1182003306,6.0,50.0,1573.32995605469,0,3.0,2.0,0,7.361585036013779,1,True,False
1182078066,5.0,63.0,1681.75,0,3.0,1.0,1,7.428184638890823,1,True,False
1182173266,5.0,28.0,2235.0,0,1.0,2.0,0,7.71244383427499,1,False,False
1182173306,5.0,29.0,2541.669921875,0,1.0,2.0,0,7.8409699582853865,0,False,False
1182316066,6.0,42.0,7701.0,1,1.0,,1,8.949235314374855,0,False,False
1182418066,2.0,62.0,2066.669921875,0,1.0,2.0,0,7.634177610642798,1,False,False
1182418106,5.0,53.0,1852.14001464844,0,4.0,2.0,0,7.524636784493065,0,True,False
1182458866,4.0,59.0,2000.0,0,4.0,2.0,0,7.601402334583733,0,False,True
1182458906,3.0,58.0,1100.0,0,5.0,2.0,0,7.00397413672268,1,True,False
1182486146,3.0,31.0,1512.0,0,3.0,3.0,1,7.321849713788356,1,False,True
1182492866,6.0,31.0,2672.89990234375,2,1.0,3.0,1,7.891293323282753,1,False,False
1182533706,3.0,29.0,2302.080078125,0,3.0,2.0,1,7.742002670438499,0,False,False
1182540466,6.0,56.0,5102.5,2,1.0,4.0,0,8.537681857843554,0,False,False
1182540506,6.0,48.0,2500.0,2,,4.0,0,7.824445930877619,1,False,False
1182567666,3.0,51.0,944.820007324219,0,4.0,3.0,0,6.852052283849663,1,False,True
1182676466,3.0,40.0,1619.0,0,1.0,1.0,1,7.3901814282264295,1,True,False
1182792066,5.0,49.0,2375.0,0,4.0,3.0,0,7.773173680482536,0,False,True
1182866866,7.0,64.0,1563.40002441406,0,4.0,1.0,1,7.35525765848738,0,False,True
1183043666,6.0,31.0,2900.0,0,1.0,6.0,0,7.972810784121404,0,False,False
1183043826,4.0,60.0,1589.91003417969,0,2.0,6.0,0,7.372061480026007,0,False,True
1183111666,6.0,39.0,800.0,0,2.0,3.0,0,6.68586094706836,1,True,False
1183159266,1.0,51.0,1696.5,0,5.0,4.0,0,7.436911859432851,0,False,True
